kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW,energy_window
IHP SG13G2,sp,1.2,1,2.2688,59.535,3.6583,59.537,3.6606,sdf_w5000
IHP SG13G2,sp,1.2,2,2.2688,59.535,3.6583,59.539,3.6629,sdf_w5000
IHP SG13G2,sp,1.2,5,2.2688,59.535,3.6583,59.546,3.6697,sdf_w5000
IHP SG13G2,sp,1.2,10,2.2688,59.535,3.6583,59.558,3.681,sdf_w5000
IHP SG13G2,sp,1.2,20,2.2688,59.535,3.6583,59.58,3.7037,sdf_w5000
IHP SG13G2,sp,1.2,50,2.2688,59.535,3.6583,59.648,3.7718,sdf_w5000
IHP SG13G2,sp,1.2,100,2.2688,59.535,3.6583,59.762,3.8852,sdf_w5000
IHP SG13G2,sp,1.2,250,2.2688,59.535,3.6583,60.102,4.2255,sdf_w5000
IHP SG13G2,sp,1.2,500,2.2688,59.535,3.6583,60.669,4.7927,sdf_w5000
IHP SG13G2,sp,1.2,1000,2.2688,59.535,3.6583,61.804,5.9272,sdf_w5000
IHP SG13G2,min32,1.2,1,2.9267,49.404,2.9827,49.407,2.9856,sdf_w5000
IHP SG13G2,min32,1.2,2,2.9267,49.404,2.9827,49.41,2.9885,sdf_w5000
IHP SG13G2,min32,1.2,5,2.9267,49.404,2.9827,49.419,2.9973,sdf_w5000
IHP SG13G2,min32,1.2,10,2.9267,49.404,2.9827,49.433,3.0119,sdf_w5000
IHP SG13G2,min32,1.2,20,2.9267,49.404,2.9827,49.462,3.0412,sdf_w5000
IHP SG13G2,min32,1.2,50,2.9267,49.404,2.9827,49.55,3.129,sdf_w5000
IHP SG13G2,min32,1.2,100,2.9267,49.404,2.9827,49.697,3.2753,sdf_w5000
IHP SG13G2,min32,1.2,250,2.9267,49.404,2.9827,50.136,3.7143,sdf_w5000
IHP SG13G2,min32,1.2,500,2.9267,49.404,2.9827,50.867,4.446,sdf_w5000
IHP SG13G2,min32,1.2,1000,2.9267,49.404,2.9827,52.331,5.9094,sdf_w5000
IHP SG13G2,min16,1.2,1,1.3485,16.177,1.5353,16.178,1.5366,sdf_w5000
IHP SG13G2,min16,1.2,2,1.3485,16.177,1.5353,16.18,1.538,sdf_w5000
IHP SG13G2,min16,1.2,5,1.3485,16.177,1.5353,16.184,1.542,sdf_w5000
IHP SG13G2,min16,1.2,10,1.3485,16.177,1.5353,16.191,1.5488,sdf_w5000
IHP SG13G2,min16,1.2,20,1.3485,16.177,1.5353,16.204,1.5623,sdf_w5000
IHP SG13G2,min16,1.2,50,1.3485,16.177,1.5353,16.244,1.6027,sdf_w5000
IHP SG13G2,min16,1.2,100,1.3485,16.177,1.5353,16.312,1.6701,sdf_w5000
IHP SG13G2,min16,1.2,250,1.3485,16.177,1.5353,16.514,1.8724,sdf_w5000
IHP SG13G2,min16,1.2,500,1.3485,16.177,1.5353,16.851,2.2095,sdf_w5000
IHP SG13G2,min16,1.2,1000,1.3485,16.177,1.5353,17.526,2.8838,sdf_w5000
